Category,Sub-category,Brand,Product Name,Rating,Review,Bersih,combined_features
cleanser,cream & lotion,Kanebo,Freshel Cleansing Cream,4.1,"bagus sihh, ngebersihin, gak berulang2 jg udh bersih,, cocok kulitku berjerawat inii, harganya emg lumayan cleansing cream, tp worth it sebesar inii. pokoknya love deh sm brand kanebo💞",bagus sih ngebersihin  berulang   bersih cocok kulitku berjerawat  harganya  lumayan cleansing cream  bernilai    pokoknya cinta deh  merek kanebo,cleanser cream & lotion Kanebo
cleanser,cream & lotion,The Body Shop,Seaweed Purifying Facial Cleanser,3.8,"udh lamaaaa bgt ga pake. jaman sma pake 1 set seaweed, trus bagus hasilnya mgkn krn kulit remaja yaaa haha. sempet nyoba(lagi) jaman kuliah, ga cocok bruntusan parah. berhenti., kemarin facial washku abis. namanya jg anak badung hhhh udh tau ga cocok, tp kalo bagus muka. beli deh, eeeeh enak bgt! ga bikin ketarik2 kalo abis cuci muka, wanginya jg lembut. ga tau sugesti engga tp pake bruntusan rada berkurang.",banget  pakai zaman  pakai   seaweed  bagus hasilnya   kulit remaja  haha  nyobalagi zaman kuliah  cocok bruntusan parah berhenti  facial washku habis namanya  anak badung hem    cocok   bagus muka beli deh eh  banget   tertarik  habis cuci muka wanginya  lembut   sugesti   pakai bruntusan  berkurang,cleanser cream & lotion The Body Shop
cleanser,cream & lotion,The History of Whoo,Cream Cleanser,4.4,"this cleanser from the history of whoo is a luxury cleanser. the scent is very good, tje packaging is extra luxury, and when you apply it in your skin, it will remove all of make up and dirt on your face. besides, it will relax you because the scent is very relaxing. a totally recommended luxury cleanser.",cleanser   histori of whoo   luxury cleanser  scent   bagus tje packaging  ekstra luxury  when  apply   your skin  will remove  of memakai up  dirt  your face besides  will relax    scent   relaxing  totally direkomendasikan luxury cleanser,cleanser cream & lotion The History of Whoo
cleanser,cream & lotion,Kanebo,Softening Cream Cleansing,4.4,"gak cocok skincare brand. kalo kosmetik bagus cetar membahana, sayangnya skincare enggak sebagus. pake, muka panas, dioles toner brand seri, panas memerah. cuci muka. so for me, no thank you for use these product again",cocok skincare merek  kosmetik bagus cetar membahana sayangnya skincare  sebagus pakai muka panas dioles toner merek seri panas memerah cuci muka sok  me  terima kasih   use these produk again,cleanser cream & lotion Kanebo
cleanser,cream & lotion,Biokos,Age Renew Anti Wrinkle Cleanser,4.3,"packagingnya bagus, tutupnya lebar. tuangin cleansernya, kebanyakan krna mulut botolnya gede. lumayan bagus ngebersihin., dg mulut botol lebar, debu mudah masuk. yah, packagingnya suka.",packagingnya bagus tutupnya lebar tuangin cleansernya kebanyakan  mulut botolnya  lumayan bagus ngebersihin  mulut botol lebar debu mudah   packagingnya suka,cleanser cream & lotion Biokos
cleanser,cream & lotion,Philosophy,Purity Cleanser,4.3,"beli lagi2 dibeliin pacar hahahaha. suka tekstur, milky lembut gampang dibilas wanginya enak. cuci muka pake berasa bgt muka jd wangi plumpy lembut. indo ga hype kaya amerika. habis, ga repurchase penasaran produk hehe. tp stock someday:d",beli  dibelikan pacar haha suka tekstur milky lembut mudah dibilas wanginya  cuci muka pakai berasa banget muka  wangi plumpy lembut indonesia  hype kayak amerika habis  repurchase penasaran produk hehe  persediaan someday d,cleanser cream & lotion Philosophy
cleanser,cream & lotion,L'Occitane,Shea Ultra Rich Comforting Cream,4.6,"#tbt review: rekomendasi temen kuliah. moisturizer moisturizer penyelamat winter time esp windy muka ketabok-tabok angin. lembabnya certain weather berasa lembab jalan winter. again gw hyperhidrosis, nih pelembab kadang2 bikin keringetan kalo certain resto ato heaternya kenceng. overall pelembab penyelamat gw. gak lengket cloggging pori-pori gw.",ulasan rekomendasi teman kuliah moisturizer moisturizer penyelamat winter  esp windy muka ketabok tabok angin lembabnya certain weather berasa lembap jalan winter again  hyperhidrosis nih pelembab kadang  keringetan  certain resto  heaternya kencang secara keseluruhan pelembab penyelamat   lengket clogging pori pori,cleanser cream & lotion L'Occitane
cleanser,cream & lotion,ANTIPODES,Hallelujah Lime and Patchouli Cleanser,3.7,"salah cleansing cream favorit ngga kentel ngga runny, konsistensinya massage wajah. baunya kayak jamu, herbal, but i love herbal scent it’s really soothing. packaging-nya kaca beling keliatan cantik. ngga bikin kering.",cleansing cream favorit  kental  runny konsistensinya massage wajah baunya  jamu herbal   cinta herbal scent  really soothing packaging nya kaca beling  cantik   kering,cleanser cream & lotion ANTIPODES
cleanser,cream & lotion,Marcks,White Beauty Aqua Cool Milk with Plant Extract,2.9,"milk cleanser menurutku lumayan bagus, harga murmer sesuai kualitasnyaa.. cuman diaku make kalo nggk cepet"" dibilas pake air kaya rada panas, dibilas udh ilang",milk cleanser menurutku lumayan bagus harga murah meriah sesuai kualitasnyaa  diaku memakai   cepat dibilas pakai air kayak  panas dibilas  hilang,cleanser cream & lotion Marcks
cleanser,cream & lotion,Cathy Doll,Ready 2 White Milky Dress Cream Pack,3.1,"packagingnya lucu. ukurannya besar, lumayan lha. kulitku putih, pakai lebib putih pas(pemakaiannya berlebihan). dibilas putih. efeknya untukku kayak mencerahkan wajah. ga efek samping untukku.",packagingnya lucu ukurannya  lumayan  kulitku putih pakai lebib putih paspemakaiannya  dibilas putih efeknya untukku  mencerahkan wajah  efek samping untukku,cleanser cream & lotion Cathy Doll
cleanser,cream & lotion,Yves Rocher,Yves Rocher Pure Calmille 2 in 1 Cleanser & Toner,5,"beli krn kepincut promo keracunan ba. jatuh cinta! teksturnya kental cair, pake wajah, tingkat membersihkannya medium but its ok, wanginya calming no perih perih wajah. suka kebiasaan pake makeup remover utk bersihin area ketiak deodoran mandi, pake kaya‘kerasa’ membersihkannya. repurchase pindah hati produk first cleanser.",beli  kepincut promo keracunan ba jatuh cinta teksturnya kental cair pakai wajah tingkat membersihkannya medium   oke wanginya calming  perih perih wajah suka kebiasaan pakai makeup remover  bersihkan area ketiak deodoran mandi pakai kayakerasa membersihkannya repurchase pindah hati produk first cleanser,cleanser cream & lotion Yves Rocher
cleanser,cream & lotion,Moogoo,Soothing MSM Cream,4.1,gw pakai daily moisturizer. ba ga dipakai dikulit ga bermasalah jg. so far enak2. kalo jerawat jg cepet kempesnya. ga bikin komedoan. cepet nyerep jg dikulit moogoo suka disc hehe,pakai daily moisturizer ba  dipakai dikulit  bermasalah  sok far   jerawat  cepat kempesnya   komedoan cepat nyerep  dikulit moogoo suka disc hehe,cleanser cream & lotion Moogoo
cleanser,cream & lotion,Oriflame,Essentials Face Cream Papaya,4,"ngga ngaruh muka. pake 2 pagi malem bikin kulit lembab, nyerahinnya ngga terlau keliatan, jerawat tetep:) ngga ketinggalan komedonya hidung muncul:).",berpengaruh muka pakai  pagi malam  kulit lembap nyerahinnya  terlau  jerawat   ketinggalan komedonya hidung muncul,cleanser cream & lotion Oriflame
